game_date,pitcher,batter,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,balls,strikes,outs_when_up,inning,inning_topbot,on_1b,on_2b,on_3b,bat_score,fld_score,stand,p_throws,home_team,away_team,at_bat_number,pitch_number
2025-10-05,701542,664770,FF,94.0,2512,-0.63,1.4,0.4901898684863897,3.439415581644495,1,2,2,7,Bot,,,543807,13,7,L,R,TOR,NYY,71,4
2025-10-05,701542,664770,CU,82.4,2750,0.77,-0.54,1.5103822971997047,-0.7333764845522368,0,2,2,7,Bot,,543807,,13,7,L,R,TOR,NYY,71,3
2025-10-05,701542,664770,FF,92.6,2388,-0.61,1.44,0.6751564531403922,3.02012601459853,0,1,2,7,Bot,,543807,,13,7,L,R,TOR,NYY,71,2
2025-10-05,701542,664770,FF,92.7,2448,-0.67,1.37,0.6693506581989372,3.480808144662493,0,0,2,7,Bot,,543807,,13,7,L,R,TOR,NYY,71,1
2025-10-05,701542,543807,ST,82.4,2814,1.47,-0.26,0.0954489845146167,2.058025674566297,0,0,2,7,Bot,,,,13,7,R,R,TOR,NYY,70,1
2025-10-05,701542,664702,SI,92.6,2398,-1.07,0.45,1.1207344313705552,2.5450320391086603,2,2,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,6
2025-10-05,701542,664702,FF,93.4,2418,-0.73,1.21,0.7164859410205753,2.3315660106325176,2,2,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,5
2025-10-05,701542,664702,CU,79.7,2650,0.64,-0.87,0.0543426754161713,2.951717752481236,2,1,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,4
2025-10-05,701542,664702,FF,92.3,2575,-0.63,1.48,0.5508192898481736,2.3596828631579063,2,0,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,3
2025-10-05,701542,664702,SI,92.4,2356,-1.48,0.42,0.956775237333192,1.2711748141495511,1,0,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,2
2025-10-05,701542,664702,FF,92.1,2612,-0.57,1.4,2.4759446585051306,1.439311211193819,0,0,1,7,Bot,,,,13,7,R,R,TOR,NYY,69,1
2025-10-05,701542,665926,CH,85.1,1525,-1.11,-0.13,-0.3404329883446453,1.8162069436800896,0,2,0,7,Bot,,,,13,7,L,R,TOR,NYY,68,3
2025-10-05,701542,665926,ST,80.8,2993,1.35,0.01,-1.056412692414391,2.346966486618153,0,1,0,7,Bot,,,,13,7,L,R,TOR,NYY,68,2
2025-10-05,701542,665926,FF,90.5,2390,-0.68,1.19,-0.733786600764143,3.095915938731685,0,0,0,7,Bot,,,,13,7,L,R,TOR,NYY,68,1
2025-10-05,689254,665862,ST,83.6,2767,-1.09,0.23,-0.4329950701338582,1.5367310758184265,0,1,2,7,Top,519317,,,7,13,L,L,TOR,NYY,67,2
2025-10-05,689254,665862,ST,82.3,2735,-1.35,0.3,-0.6259537239694763,1.7295162912609232,0,0,2,7,Top,519317,,,7,13,L,L,TOR,NYY,67,1
2025-10-05,667297,519317,CU,86.2,3175,0.8,-1.25,-0.0322861293922891,1.6504600617981868,2,2,2,7,Top,,700250,592450,5,13,R,R,TOR,NYY,66,5
2025-10-05,667297,519317,SL,89.7,2856,0.02,0.11,0.6530922482609617,2.788591871801155,2,1,2,7,Top,,700250,592450,5,13,R,R,TOR,NYY,66,4
2025-10-05,667297,519317,CU,85.6,2889,1.15,-1.15,0.0007950556882155,1.970498248300545,2,0,2,7,Top,,700250,592450,5,13,R,R,TOR,NYY,66,3
2025-10-05,667297,519317,SL,90.9,2863,0.08,0.29,1.0300363879448986,1.635420951774162,1,0,2,7,Top,,700250,592450,5,13,R,R,TOR,NYY,66,2
2025-10-05,667297,519317,SL,90.0,2930,0.01,0.13,1.141601160318279,2.3953175864927254,0,0,2,7,Top,,700250,592450,5,13,R,R,TOR,NYY,66,1
2025-10-05,667297,700250,SL,89.9,2693,0.08,0.08,0.1704401093994746,2.8008384945765936,2,1,2,7,Top,592450,663757,,4,13,L,R,TOR,NYY,65,4
2025-10-05,667297,700250,CU,85.3,2922,0.71,-1.31,-1.3304511148519556,2.189965198006002,1,1,2,7,Top,592450,663757,,4,13,L,R,TOR,NYY,65,3
2025-10-05,667297,700250,CU,86.3,2836,0.83,-1.26,-0.3908446820112369,1.8351799788918823,1,0,2,7,Top,592450,663757,,4,13,L,R,TOR,NYY,65,2
2025-10-05,667297,700250,CU,84.6,3103,0.95,-1.32,-1.0125577950968678,3.117692437322151,0,0,2,7,Top,592450,663757,,4,13,L,R,TOR,NYY,65,1
2025-10-05,667297,641355,CU,86.4,3188,0.98,-1.4,-0.9699920248349544,3.1838666491983165,1,1,1,7,Top,592450,663757,502671,3,13,L,R,TOR,NYY,64,3
2025-10-05,667297,641355,CU,85.2,3156,1.01,-1.35,0.1498823729604522,1.185654643558255,1,0,1,7,Top,592450,663757,502671,3,13,L,R,TOR,NYY,64,2
